date_time,water_level,sigma,o,f,r,l,quality 
2017-06-27 03:30,603.048,0.003,0,0,0,0,v
2017-06-27 03:36,603.018,0.003,0,0,0,0,v
2017-06-27 03:42,602.999,0.007,0,0,0,0,v
2017-06-27 03:48,603.025,0.007,0,0,0,0,v
2017-06-27 03:54,603.035,0.000,0,0,0,0,v
2017-06-27 04:00,603.005,0.007,0,0,0,0,v
2017-06-27 04:06,602.995,0.000,0,0,0,0,v
2017-06-27 04:12,602.982,0.000,0,0,0,0,v
2017-06-27 04:18,602.969,0.003,0,0,0,0,v
2017-06-27 04:24,602.959,0.000,0,0,0,0,v
2017-06-27 04:30,602.943,0.003,0,0,0,0,v
2017-06-27 04:36,602.923,0.003,0,0,0,0,v
2017-06-27 04:42,602.904,0.000,0,0,0,0,v
2017-06-27 04:48,602.897,0.003,0,0,0,0,v
2017-06-27 04:54,602.900,0.000,0,0,0,0,v
2017-06-27 05:00,602.904,0.003,0,0,0,0,v
2017-06-27 05:06,602.910,0.003,0,0,0,0,v
2017-06-27 05:12,602.890,0.010,0,0,0,0,v
2017-06-27 05:18,602.864,0.003,0,0,0,0,v
2017-06-27 05:24,602.867,0.000,0,0,0,0,v
2017-06-27 05:30,602.851,0.003,0,0,0,0,v
2017-06-27 05:36,602.841,0.003,0,0,0,0,v
2017-06-27 05:42,602.841,0.000,0,0,0,0,v
2017-06-27 05:48,602.831,0.003,0,0,0,0,v
2017-06-27 05:54,602.782,0.007,0,0,0,0,v
2017-06-27 06:00,602.759,0.003,0,0,0,0,v
2017-06-27 06:06,602.746,0.003,0,0,0,0,v
2017-06-27 06:12,602.766,0.000,0,0,0,0,v
2017-06-27 06:18,602.766,0.000,0,0,0,0,v
2017-06-27 06:24,602.743,0.003,0,0,0,0,v
2017-06-27 06:30,602.736,0.003,0,0,0,0,v
2017-06-27 06:36,602.733,0.000,0,0,0,0,v
2017-06-27 06:42,602.733,0.000,0,0,0,0,v
2017-06-27 06:48,602.769,0.007,0,0,0,0,v
2017-06-27 06:54,602.789,0.000,0,0,0,0,v
2017-06-27 07:00,602.789,0.000,0,0,0,0,v
2017-06-27 07:06,602.782,0.003,0,0,0,0,v
2017-06-27 07:12,602.769,0.000,0,0,0,0,v
2017-06-27 07:18,602.782,0.003,0,0,0,0,v
2017-06-27 07:24,602.789,0.000,0,0,0,0,v
2017-06-27 07:30,602.789,0.000,0,0,0,0,v
2017-06-27 07:36,602.772,0.010,0,0,0,0,v
2017-06-27 07:42,602.730,0.003,0,0,0,0,v
2017-06-27 07:48,602.720,0.003,0,0,0,0,v
2017-06-27 07:54,602.726,0.000,0,0,0,0,v
2017-06-27 08:00,602.726,0.000,0,0,0,0,v
2017-06-27 08:06,602.733,0.007,0,0,0,0,v
2017-06-27 08:12,602.740,0.000,0,0,0,0,v
2017-06-27 08:18,602.740,0.007,0,0,0,0,v
2017-06-27 08:24,602.782,0.007,0,0,0,0,v
2017-06-27 08:30,602.812,0.000,0,0,0,0,v
2017-06-27 08:36,602.838,0.007,0,0,0,0,v
2017-06-27 08:42,602.874,0.007,0,0,0,0,v
2017-06-27 08:48,602.897,0.003,0,0,0,0,v
2017-06-27 08:54,602.920,0.003,0,0,0,0,v
2017-06-27 09:00,602.927,0.000,0,0,0,0,v
2017-06-27 09:06,602.946,0.003,0,0,0,0,v
2017-06-27 09:12,602.963,0.007,0,0,0,0,v
2017-06-27 09:18,602.969,0.000,0,0,0,0,v
2017-06-27 09:24,602.969,0.000,0,0,0,0,v
2017-06-27 09:30,602.959,0.000,0,0,0,0,v
2017-06-27 09:36,602.963,0.003,0,0,0,0,v
2017-06-27 09:42,602.986,0.000,0,0,0,0,v
2017-06-27 09:48,602.995,0.000,0,0,0,0,v
2017-06-27 09:54,602.995,0.000,0,0,0,0,v
2017-06-27 10:00,603.018,0.003,0,0,0,0,v
2017-06-27 10:06,603.025,0.000,0,0,0,0,v
2017-06-27 10:12,603.061,0.007,0,0,0,0,v
2017-06-27 10:18,603.091,0.000,0,0,0,0,v
2017-06-27 10:24,603.087,0.000,0,0,0,0,v
2017-06-27 10:30,603.117,0.003,0,0,0,0,v
2017-06-27 10:36,603.123,0.000,0,0,0,0,v
2017-06-27 10:42,603.127,0.007,0,0,0,0,v
2017-06-27 10:48,603.153,0.000,0,0,0,0,v
2017-06-27 10:54,603.163,0.007,0,0,0,0,v
2017-06-27 11:00,603.166,0.003,0,0,0,0,v
2017-06-27 11:06,603.130,0.003,0,0,0,0,v
2017-06-27 11:12,603.097,0.007,0,0,0,0,v
2017-06-27 11:18,603.091,0.000,0,0,0,0,v
2017-06-27 11:24,603.071,0.003,0,0,0,0,v
2017-06-27 11:30,603.058,0.003,0,0,0,0,v
2017-06-27 11:36,603.051,0.007,0,0,0,0,v
2017-06-27 11:42,603.025,0.003,0,0,0,0,v
2017-06-27 11:48,603.022,0.000,0,0,0,0,v
